#"Step","Time (ps)","Potential Energy (kilocalorie/mole)","Kinetic Energy (kilocalorie/mole)","Total Energy (kilocalorie/mole)","Temperature (K)"
100,0.05000000000000004,35.119882733142624,31.701372659464237,66.82125539260686,118.60780640123511
200,0.10000000000000007,34.98101462369667,31.83027541168732,66.81129003538399,119.09008434056899
300,0.1500000000000001,36.52056225399214,30.281117974814332,66.80168022880648,113.294052498938
400,0.20000000000000015,26.72267461598033,40.0534514702828,66.77612608626313,149.85635066090086
500,0.25000000000000017,30.96862413687186,35.814912895356834,66.7835370322287,133.99824356505871
600,0.3000000000000002,30.479442093158085,36.297264321926214,66.7767064150843,135.80291761606773
700,0.35000000000000026,24.61013648067788,42.16584502710439,66.77598150778226,157.75967928714294
800,0.4000000000000003,31.3957061184068,35.3921538104889,66.7878599288957,132.41652884781257
900,0.45000000000000034,32.46066675131453,34.32721760888347,66.78788436019799,128.43216677660192
1000,0.5000000000000003,26.438951948176832,40.33764512465116,66.776597072828,150.91963540569313
1100,0.5499999999999948,27.998052637162218,38.78761235674412,66.78566499390634,145.12032859250365
1200,0.5999999999999893,31.863188880351487,34.92238217907785,66.78557105942933,130.6589209577782
1300,0.6499999999999838,29.28622594071164,37.505581938478215,66.79180787918986,140.32372822810962
1400,0.6999999999999783,29.61834165379832,37.17376557080855,66.79210722460687,139.08226742702422
1500,0.7499999999999728,30.45926723152,36.33329363087509,66.79256086239509,135.93771800299362
1600,0.7999999999999673,31.500974987022733,35.297607269358906,66.79858225638164,132.062791551743
1700,0.8499999999999618,29.36918284195559,37.424694978227805,66.7938778201834,140.02109701321487
1800,0.8999999999999563,31.195952377173455,35.599695401529765,66.79564777870323,133.19302685989564
1900,0.9499999999999508,31.715644705136008,35.08556607476726,66.80121077990326,131.26945868166916
2000,0.9999999999999453,28.281518195828788,38.51395221801037,66.79547041383915,144.09645403970953
2100,1.0499999999999399,31.409615540367692,35.386592894970626,66.79620843533831,132.3957231874934
2200,1.0999999999999344,27.873084832331873,38.918512020381186,66.79159685271306,145.61007779451546
2300,1.1499999999999289,27.45005824597798,39.33307218470434,66.78313043068232,147.1611169952431
2400,1.1999999999999234,31.955018782023032,34.83273501705599,66.78775379907903,130.32351424363597
2500,1.2499999999999178,26.75980773984132,40.01750641664486,66.77731415648618,149.721865507568
2600,1.2999999999999123,26.582072387461906,40.19674781645803,66.77882020391993,150.39248092465087
2700,1.3499999999999068,27.719732908172315,39.05742516630751,66.77715807447983,146.12980871265592
2800,1.3999999999999013,26.84436929385475,39.93454100083324,66.77891029468799,149.41145793997504
2900,1.4499999999998958,28.97026433999406,37.81717005817942,66.78743439817349,141.48950687673266
3000,1.4999999999998903,25.92708412593455,40.85654121232406,66.7836253382586,152.86103798690567
3100,1.5499999999998848,26.502653016187036,40.28674231683675,66.78939533302379,150.7291871737069
3200,1.5999999999998793,27.828652361838813,38.96452925109214,66.79318161293095,145.78224708352116
3300,1.6499999999998738,29.383332961831904,37.40842647522859,66.79175943706049,139.96022988689523
3400,1.6999999999998683,31.441839885529323,35.352249783828825,66.79408966935814,132.26723155650697
3500,1.7499999999998628,31.12469120645614,35.66322298310911,66.78791418956524,133.4307095362277
3600,1.7999999999998573,25.570276818357506,41.2079620443954,66.77823886275291,154.17584711089594
3700,1.8499999999998518,29.540785867898915,37.244124917658915,66.78491078555783,139.3455105325954
3800,1.8999999999998463,27.356816979256916,39.42810310973264,66.78492008898955,147.51666656967208
3900,1.9499999999998407,31.06851741871004,35.725031321401744,66.79354874011179,133.66195981995975
4000,1.9999999999998352,30.594637927316114,36.19937696066786,66.79401488798398,135.43668094493125
4100,2.049999999999852,28.673494751093262,38.12082943615163,66.7943241872449,142.6256208583364
4200,2.0999999999998686,28.377753598740178,38.418468328310354,66.79622192705054,143.7392097391037
4300,2.1499999999998853,32.02596996300079,34.773214072003306,66.79918403500409,130.1008220339496
4400,2.199999999999902,30.55020180988494,36.24823556885294,66.79843737873787,135.6194809896769
4500,2.2499999999999187,29.131114368912822,37.664959564213824,66.79607393312665,140.92002513868817
4600,2.2999999999999354,28.924105044304753,37.87008813674959,66.79419318105434,141.68749506120648
4700,2.349999999999952,26.44038884179314,40.34061224714463,66.78100108893777,150.93073662500163
4800,2.399999999999969,29.121626859413276,37.66485146935993,66.78647832877321,140.9196207116105
4900,2.4499999999999855,30.616814957977937,36.16983301819161,66.78664797616955,135.32614496760326
5000,2.500000000000002,28.01958598324719,38.77118345435502,66.79076943760221,145.0588613464357
5100,2.550000000000019,32.26827982506834,34.52868934388648,66.79696916895482,129.18595497363836
5200,2.6000000000000356,30.686642882017058,36.105755087518865,66.79239796953593,135.08640321012592
5300,2.6500000000000523,30.14233007485734,36.64887057934277,66.79120065420011,137.11842049214508
5400,2.700000000000069,31.394535451272702,35.39600833915672,66.79054379042942,132.43095021672022
5500,2.7500000000000857,28.954555154074672,37.83089822927493,66.7854533833496,141.54086958197038
5600,2.8000000000001024,29.243883165757012,37.54488834051725,66.78877150627426,140.47078956117727
5700,2.850000000000119,29.40324159698778,37.38093515056725,66.78417674755502,139.85737359268452
5800,2.900000000000136,29.28924560546875,37.49794477060879,66.78719037607753,140.29515445820252
5900,2.9500000000001525,28.96245259855719,37.82695523386618,66.78940783242336,141.52611722278687
6000,3.000000000000169,26.50646224304549,40.27940357196542,66.78586581501091,150.7017299263417
6100,3.050000000000186,30.583631468092733,36.20401084650999,66.78764231460272,135.4540182079183
6200,3.1000000000002026,29.87449529294074,36.917195911385676,66.79169120432641,138.12233535026053
6300,3.1500000000002193,30.662824729204633,36.12863993980916,66.79146466901379,135.17202480636166
6400,3.200000000000236,35.34180621116157,31.463303035178555,66.80510924634012,117.71709052559744
6500,3.2500000000002527,27.17283442189087,39.61434634135284,66.78718076324371,148.2134787044916
6600,3.3000000000002694,29.662498780463892,37.132133202659354,66.79463198312325,138.92650370302061
6700,3.350000000000286,31.474954083590386,35.32429753195487,66.79925161554526,132.1626507449958
